lon,lat,value
-148.5254669189453,64.68373107910156,64.68373107910156
-148.46865844726562,64.68391418457031,64.68391418457031
-148.41184997558594,64.68408203125,64.68408203125
-148.3550262451172,64.68421936035156,64.68421936035156
-148.2982177734375,64.68434143066406,64.68434143066406
-148.2414093017578,64.68444061279297,64.68444061279297
-148.18460083007812,64.68451690673828,64.68451690673828
-148.12779235839844,64.68457794189453,64.68457794189453
-148.07098388671875,64.68461608886719,64.68461608886719
-148.01417541503906,64.68462371826172,64.68462371826172
-147.9573516845703,64.68461608886719,64.68461608886719
-147.90054321289062,64.6845932006836,64.6845932006836
-147.84373474121094,64.6845474243164,64.6845474243164
-147.78692626953125,64.68447875976562,64.68447875976562
-147.73011779785156,64.68438720703125,64.68438720703125
-147.67330932617188,64.68428039550781,64.68428039550781
-147.61648559570312,64.68415069580078,64.68415069580078
-147.55967712402344,64.68399810791016,64.68399810791016
-147.50286865234375,64.68382263183594,64.68382263183594
-147.44606018066406,64.68363189697266,64.68363189697266
-148.52590942382812,64.70802307128906,64.70802307128906
-148.46905517578125,64.70820617675781,64.70820617675781
-148.41220092773438,64.7083740234375,64.7083740234375
-148.3553466796875,64.70851135253906,64.70851135253906
-148.29847717285156,64.70863342285156,64.70863342285156
-148.2416229248047,64.70873260498047,64.70873260498047
-148.1847686767578,64.70880889892578,64.70880889892578
-148.12789916992188,64.70886993408203,64.70886993408203
-148.071044921875,64.70890808105469,64.70890808105469
-148.01417541503906,64.70892333984375,64.70892333984375
-147.9573211669922,64.70891571044922,64.70891571044922
-147.9004669189453,64.7088851928711,64.7088851928711
-147.84359741210938,64.7088394165039,64.7088394165039
-147.7867431640625,64.70877075195312,64.70877075195312
-147.72987365722656,64.70867919921875,64.70867919921875
-147.6730194091797,64.70857238769531,64.70857238769531
-147.6161651611328,64.70844268798828,64.70844268798828
-147.55929565429688,64.70829010009766,64.70829010009766
-147.50244140625,64.70811462402344,64.70811462402344
-147.44558715820312,64.70792388916016,64.70792388916016
-148.5263671875,64.73231506347656,64.73231506347656
-148.46946716308594,64.73249816894531,64.73249816894531
-148.4125518798828,64.73265838623047,64.73265838623047
-148.35565185546875,64.73280334472656,64.73280334472656
-148.29873657226562,64.73292541503906,64.73292541503906
-148.24183654785156,64.73301696777344,64.73301696777344
-148.18492126464844,64.73310089111328,64.73310089111328
-148.1280059814453,64.733154296875,64.733154296875
-148.07110595703125,64.73319244384766,64.73319244384766
-148.01419067382812,64.73320770263672,64.73320770263672
-147.957275390625,64.73320007324219,64.73320007324219
-147.90037536621094,64.7331771850586,64.7331771850586
-147.8434600830078,64.7331314086914,64.7331314086914
-147.78656005859375,64.73306274414062,64.73306274414062
-147.72964477539062,64.73297119140625,64.73297119140625
-147.6727294921875,64.73286437988281,64.73286437988281
-147.61582946777344,64.73272705078125,64.73272705078125
-147.5589141845703,64.73257446289062,64.73257446289062
-147.50201416015625,64.73240661621094,64.73240661621094
-147.4451141357422,64.73220825195312,64.73220825195312
-148.52682495117188,64.75660705566406,64.75660705566406
-148.46986389160156,64.75679016113281,64.75679016113281
-148.4129180908203,64.75695037841797,64.75695037841797
-148.35595703125,64.75709533691406,64.75709533691406
-148.2989959716797,64.75720977783203,64.75720977783203
-148.24203491210938,64.75730895996094,64.75730895996094
-148.18508911132812,64.75738525390625,64.75738525390625
-148.1281280517578,64.7574462890625,64.7574462890625
-148.0711669921875,64.75748443603516,64.75748443603516
-148.0142059326172,64.75749969482422,64.75749969482422
-147.95724487304688,64.75749206542969,64.75749206542969
-147.90028381347656,64.7574691772461,64.7574691772461
-147.84332275390625,64.75741577148438,64.75741577148438
-147.786376953125,64.75735473632812,64.75735473632812
-147.7294158935547,64.75726318359375,64.75726318359375
-147.67245483398438,64.75714874267578,64.75714874267578
-147.61549377441406,64.75701904296875,64.75701904296875
-147.55853271484375,64.75686645507812,64.75686645507812
-147.5015869140625,64.75669860839844,64.75669860839844
-147.4446258544922,64.75650024414062,64.75650024414062
-148.52728271484375,64.7808837890625,64.7808837890625
-148.47027587890625,64.78107452392578,64.78107452392578
-148.41326904296875,64.78123474121094,64.78123474121094
-148.35626220703125,64.78137969970703,64.78137969970703
-148.29925537109375,64.78150177001953,64.78150177001953
-148.24224853515625,64.78160095214844,64.78160095214844
-148.18524169921875,64.78168487548828,64.78168487548828
-148.12823486328125,64.78173828125,64.78173828125
-148.07122802734375,64.78176879882812,64.78176879882812
-148.01422119140625,64.78178405761719,64.78178405761719
-147.95721435546875,64.78178405761719,64.78178405761719
-147.90020751953125,64.78175354003906,64.78175354003906
-147.8431854248047,64.78170776367188,64.78170776367188
-147.7861785888672,64.78164672851562,64.78164672851562
-147.7291717529297,64.78155517578125,64.78155517578125
-147.6721649169922,64.78144073486328,64.78144073486328
-147.6151580810547,64.78131103515625,64.78131103515625
-147.5581512451172,64.7811508178711,64.7811508178711
-147.5011444091797,64.7809829711914,64.7809829711914
-147.44415283203125,64.78079223632812,64.78079223632812
-148.52774047851562,64.80517578125,64.80517578125
-148.47068786621094,64.80535888671875,64.80535888671875
-148.41363525390625,64.80552673339844,64.80552673339844
-148.3565673828125,64.8056640625,64.8056640625
-148.2995147705078,64.8057861328125,64.8057861328125
-148.24246215820312,64.80589294433594,64.80589294433594
-148.18540954589844,64.80596923828125,64.80596923828125
